text,difficulty,importance
submit taxes easy should do,0.142,0.564
finish report not difficult,0.083,0.365
do homework simple urgent need,0.171,0.926
lead meeting hard doesn't matter,0.613,0.115
complete unit testing hard zero payoff,0.725,0.06
do yoga one click very important,0.066,0.872
handle shopping low priority,0.256,0.296
go for run should prioritize,0.391,0.606
do walk important needs focus,0.527,0.711
complete unit testing hard doesn't matter,0.566,0.144
go to slides hard zero payoff,0.791,0.129
take care of dusting one click very important,0.076,0.954
finish assignment quite demanding,0.655,0.462
do workout tonight,0.266,0.316
go for yoga important moderate effort,0.313,0.66
lead sprint planning takes some effort,0.487,0.332
get cleaning hard zero payoff,0.666,0.123
ship performance review tough challenging,0.566,0.551
get laundry takes no time top priority,0.036,0.859
complete code review thirty seconds can't skip,0.11,0.859
do checkup difficult pointless,0.681,0.069
refactor performance review regular task,0.333,0.418
work on deployment non trivial,0.475,0.427
do walk hard needs focus,0.589,0.699
lead slides complex nobody asked for,0.69,0.076
fill out timesheet simple pointless,0.057,0.076
go to standup not important but hard,0.645,0.181
refactor code review takes forever but skip it,0.783,0.143
do assignment requires focus,0.379,0.657
refactor performance review tough no benefit,0.686,0.137
review email technically hard completely optional,0.681,0.108
file invoice not hard but important,0.157,0.798
do stretch grueling most important,0.869,0.893
finish assignment quick but matters,0.12,0.502
review exam prep hard waste of time,0.755,0.107
join standup exhausting low stakes,0.78,0.19
run networking event hard cannot miss,0.728,0.944
fix code review hard doesn't matter,0.594,0.175
submit timesheet fairly important,0.303,0.622
do exam prep tough challenging,0.581,0.537
have doctor appointment extremely complex critical,0.872,0.853
go to interview easy should do,0.097,0.576
do stretch should prioritize,0.359,0.716
go to dentist takes forever but skip it,0.748,0.08
finish dusting hard cannot miss,0.766,0.889
attend retrospective easy but critical,0.069,0.867
join presentation average task average priority,0.441,0.503
take care of dusting medium effort,0.371,0.467
run interview tiny task major impact,0.059,0.947
finish study session considerable effort,0.542,0.498
debug report quick nothing important,0.083,0.091
go to presentation middle of the road,0.502,0.446
have interview easy must do,0.136,0.824
take care of vacuuming hard hard,0.666,0.678
prepare for call with client not a priority,0.343,0.154
attend sprint planning hard doesn't matter,0.653,0.169
file budget not urgent,0.454,0.194
do timesheet hardest thing ever very important,0.928,0.907
complete invoice quick urgent,0.13,0.923
simple doctor appointment,0.162,0.311
run sprint planning massive effort basically useless,0.857,0.124
do meditation in the morning,0.205,0.351
do yoga quick urgent,0.087,0.931
work on performance review technically hard completely optional,0.73,0.107
take care of vacuuming non trivial,0.469,0.393
push report easy should do,0.155,0.477
write performance review kinda hard kinda matters,0.529,0.466
lead team standup hard waste of time,0.645,0.073
join slides easy no big deal,0.155,0.125
review exam prep takes forever but skip it,0.661,0.11
lead interview hard cannot miss,0.662,0.912
complete invoice kinda hard kinda matters,0.458,0.579
file taxes exhausting low stakes,0.769,0.128
fix deployment hard doesn't matter,0.728,0.158
do timesheet tough no benefit,0.591,0.122
lead sprint planning moderate effort,0.413,0.458
do exam prep quick but important,0.143,0.845
do shopping not urgent,0.333,0.221
get laundry technically hard completely optional,0.792,0.124
review documentation quick and easy,0.009,0.12
do gym session quick but important,0.056,0.767
prepare for sprint planning easy no effort,0.011,0.137
complete code review quick can't miss,0.068,0.874
finish dishes draining but irrelevant,0.716,0.134
have dentist moderate effort,0.366,0.379
review reading hard critical,0.725,0.943
push documentation technically hard completely optional,0.786,0.169
do cleaning hard nobody cares,0.619,0.104
have dentist hard critical,0.623,0.915
do stretch exhausting low stakes,0.754,0.189
complete timesheet easy should do,0.113,0.607
get cooking decent priority,0.467,0.569
have networking event worth the time,0.303,0.596
run sprint planning trivial but high stakes,0.125,0.827
prepare for slides difficult urgent,0.64,0.905
complete code review straightforward,0.118,0.214
review deployment quick urgent,0.132,0.871
quick confirmation text,0.02,0.6
handle groceries complex nobody asked for,0.691,0.091
do stretch technically hard completely optional,0.635,0.159
go through reading hard zero payoff,0.649,0.106
finish vacuuming difficult needs doing,0.653,0.739
prepare for study session demanding critical,0.694,0.888
study for exam prep difficult needs doing,0.629,0.619
submit budget easy but critical,0.076,0.905
attend call with client brutal intense,0.919,0.825
run sprint planning tough challenging,0.603,0.554
do homework quick but important,0.141,0.814
do stretch massive effort basically useless,0.766,0.118
submit taxes technically hard completely optional,0.643,0.122
get cleaning easy must do,0.175,0.853
run standup by noon,0.403,0.415
go to team standup tough no benefit,0.555,0.083
debug deployment difficult urgent,0.588,0.89
take care of dishes medium priority,0.339,0.579
review study session important needs focus,0.537,0.672
go to medication tough challenging,0.716,0.631
review deployment takes no time top priority,0.049,0.94
prepare for reading tough no benefit,0.698,0.141
take care of laundry not critical should do,0.318,0.312
go to networking event not important,0.203,0.125
go to retrospective quite demanding,0.643,0.485
prepare for reading simple worth doing,0.103,0.603
do cooking grueling most important,0.943,0.89
take care of groceries thirty seconds can't skip,0.048,0.879
have dentist thirty seconds can't skip,0.113,0.89
join interview hard nobody cares,0.782,0.102
do expense report hard needs focus,0.618,0.748
go for run grueling most important,0.882,0.894
fill out budget trivial but high stakes,0.138,0.939
debug report massive effort basically useless,0.757,0.135
finish reading massive effort basically useless,0.763,0.129
go for workout worth the time,0.489,0.654
have dentist massive effort basically useless,0.703,0.076
take care of laundry tough challenging,0.587,0.671
mandatory team standup,0.499,0.862
go for stretch hard doesn't matter,0.665,0.129
go for run kinda hard kinda matters,0.459,0.471
refactor code review not important,0.386,0.261
ship unit testing hard very important,0.662,0.821
have sprint planning hard doesn't matter,0.563,0.175
push report hard nobody cares,0.67,0.05
join call with client complex nobody asked for,0.564,0.101
review deployment simple worth doing,0.145,0.461
fill out timesheet technically hard completely optional,0.755,0.194
fill out budget easy should do,0.113,0.487
go for meditation tough urgent must do,0.768,0.94
prepare for exam prep takes no time top priority,0.05,0.923
work on unit testing tough no benefit,0.554,0.123
go to sprint planning next week,0.373,0.34
take care of cooking simple enough,0.097,0.202
submit invoice non trivial,0.539,0.336
push unit testing difficult pointless,0.668,0.082
attend sprint planning demanding critical,0.731,0.882
complete taxes background task,0.376,0.208
fill out expense report decent work reasonable priority,0.412,0.481
prepare for retrospective small but worth doing,0.24,0.239
have meeting quick but matters,0.095,0.692
run interview takes forever but skip it,0.797,0.099
go to interview takes forever but skip it,0.684,0.132
takes two seconds but absolutely critical,0.05,0.95
study for exam prep tough no benefit,0.615,0.142
go for workout small but worth doing,0.298,0.397
take care of cooking if time allows,0.258,0.288
handle shopping not critical should do,0.253,0.403
push report draining but irrelevant,0.689,0.085
have dentist quick can't miss,0.083,0.893
attend meeting complex very important,0.682,0.949
have networking event takes no time top priority,0.073,0.804
have interview kinda hard kinda matters,0.589,0.516
do groceries quick nothing important,0.088,0.134
go through homework hard zero payoff,0.734,0.076
prepare for slides not difficult,0.139,0.299
take care of laundry easy nothing to stress,0.083,0.098
write report hard hard,0.566,0.574
go to slides kinda hard kinda matters,0.477,0.475
take care of shopping light and simple,0.135,0.132
go through homework moderately important,0.383,0.553
hard expense report session,0.582,0.687
do assignment hard critical,0.648,0.876
study for assignment easy must do,0.162,0.916
do expense report quick but matters,0.092,0.68
refactor deployment difficult pointless,0.611,0.124
do medication hard needs focus,0.733,0.72
do laundry barely any effort extremely important,0.133,0.907
review report easy low importance,0.151,0.296
push code review solid mid level task,0.476,0.504
do walk brutal intense,0.892,0.873
get dentist hard critical,0.625,0.873
have slides hard very important,0.701,0.892
refactor deployment not hard,0.112,0.205
go to medication complex nobody asked for,0.639,0.14
review study session takes forever but skip it,0.797,0.121
attend call with client hard cannot miss,0.709,0.9
go to medication hard zero payoff,0.768,0.144
finish cooking one click very important,0.051,0.899
fill out timesheet not urgent,0.322,0.283
push report decent effort important,0.462,0.649
review reading takes no time top priority,0.032,0.948
do cooking simple enough,0.178,0.14
review code review regular task,0.464,0.351
write documentation requires focus,0.392,0.54
tough expense report,0.667,0.404
run networking event important needs focus,0.368,0.789
submit taxes quick but matters,0.082,0.693
review code review considerable effort,0.58,0.389
